siteId,sampleLocation,sampleReplicate,dateSampled,dateFiltered,dateAnalyzed,technicianInitials,extract_volume_ml,raw_fluorescence,avg_blank_reading,calibration_file_date,volume_filtered_ml,flourescence/mL
loc,out,1,240130,240130,250130,AGK,10,294.42,0.23,231129,NA,
loc,lh,1,240206,240206,250130,AGK,10,1971.13,0.23,231129,800,2.4639125
loc,ls,1,240206,240206,250130,AGK,10,1356.13,0.23,231129,900,1.506811111
loc,out,1,240206,240206,250130,AGK,10,153.94,0.23,231129,500,0.30788
loc,lh,1,240528,240528,250122,AGK,10,368.36,0.173,231129,750,0.491146667
loc,ls,1,240528,240528,250122,AGK,10,56.93,0.173,231129,500,0.11386
loc,out,1,240528,240528,250122,AGK,10,154.52,0.173,231129,750,0.206026667
loc,ls,1,240530,240530,250130,AGK,10,203.84,0.23,231129,NA,
loc,lh,1,240613,240613,250122,AGK,10,417.79,0.173,231129,500,0.83558
loc,ls,1,240613,240613,250122,AGK,10,322.08,0.173,231129,500,0.64416
loc,lh,1,240709,240709,250122,AGK,10,372.01,0.173,231129,905,0.411060773
loc,ls,1,240709,240709,250122,AGK,10,233.06,0.173,231129,935,0.249262032
loc,lh,1,240813,240813,250122,AGK,10,1368.2,0.173,231129,965,1.417823834
loc,ls,1,240813,240813,250122,AGK,10,1087.57,0.173,231129,835,1.302479042
loc,lh,1,240924,240924,250122,AGK,10,550.42,0.173,231129,920,0.598282609
loc,ls,1,240924,240924,250122,AGK,10,518.95,0.173,231129,835,0.621497006
loc,ls,1,241025,241025,250122,AGK,10,620.41,0.173,231129,600,1.034016667
loc,shr,1,241121,241121,250122,AGK,10,283.32,0.173,231129,500,0.56664
loc,lh,1,241212,241212,250130,AGK,10,968.74,0.23,231129,800,1.210925
loc,ls,1,241212,241212,250130,AGK,10,404.9,0.23,231129,300,1.349666667
loc,ls,1,20250124,20250124,20250807,AGK,10,2587.16,0.285,231129,800,3.23395
loc,lh,1,20250124,20250124,20250807,AGK,10,2990.66,0.285,231129,790,3.78564557
loc,lh,1,20250225,20250225,20250807,AGK,10,1889.74,0.285,231129,800,2.362175
loc,ls,1,20250225,20250225,20250807,AGK,10,1553.34,0.285,231129,800,1.941675
loc,ls,1,20250311,20250312,20250807,AGK,10,1376.64,0.285,231129,900,1.5296
loc,ls,1,20250415,20250415,20250807,AGK,10,398.77,0.285,231129,1000,0.39877
loc,lh,1,20250415,20250415,20250807,AGK,10,457.41,0.285,231129,1000,0.45741
loc,lh,1,20250522,20250522,20250807,AGK,10,236.44,0.285,231129,800,0.29555
loc,ls,1,20250522,20250522,20250807,AGK,10,347.83,0.285,231129,1000,0.34783
loc,lh,1,20250619,20250619,20250807,AGK,10,1678.65,0.285,231129,971,1.728784758
loc,ls,1,20250619,20250619,20250807,AGK,10,599.55,0.285,231129,743,0.806931359
loc,ls,1,20250729,20250729,20250828,"CED, AGK",10,1149.3,0.26,231129,750,1.5324
loc,lh,1,20250729,20250729,20250828,"CED, AGK",10,943.01,0.26,231129,800,1.1787625
